Days_Left,Task_Type,Estimated_Duration,Deadline_Time,Task_Importance,Past_Completion_Rate,Number_Of_Overdue_Tasks,Priority_Level
10,Personal,2,05:31 AM,5,54,5,High
21,Work,4,07:32 PM,2,87,3,Low
16,Work,3,04:37 PM,1,58,1,Low
14,Work,2,01:18 PM,3,98,3,Medium
29,Student,4,11:43 PM,1,90,0,Low
25,Personal,3,09:00 AM,2,59,4,Low
3,Personal,4,03:56 PM,3,89,1,Medium
21,Student,1,06:48 PM,5,81,3,Medium
1,Personal,3,01:25 AM,2,64,0,Medium
7,Student,2,09:12 PM,1,74,2,Medium
13,Student,4,05:04 PM,2,74,1,Medium
21,Student,4,08:48 PM,4,70,3,Medium
18,Student,2,11:39 AM,1,70,2,Low
25,Work,4,02:25 PM,1,61,0,Low
14,Personal,2,09:23 AM,5,62,5,High
20,Work,2,10:32 PM,4,81,2,Medium
21,Student,2,01:02 AM,3,74,5,Medium
27,Work,1,12:21 PM,5,67,1,Medium
28,Student,1,08:09 AM,4,76,1,Low
30,Personal,3,10:20 AM,3,72,3,Low
12,Personal,2,10:47 PM,3,86,4,Medium
0,Student,4,06:32 PM,3,68,4,High
29,Student,3,10:19 PM,4,96,0,Low
4,Work,3,06:21 AM,2,65,0,Medium
11,Personal,1,10:19 AM,3,50,3,Medium
7,Student,3,08:16 AM,2,83,2,Medium
24,Student,2,01:37 PM,5,95,2,Medium
26,Work,2,09:40 PM,1,97,4,Low
8,Work,4,11:15 AM,4,71,1,Medium
25,Student,2,12:07 AM,4,66,5,Medium
13,Work,1,08:20 PM,2,69,2,Medium
15,Work,3,07:44 AM,3,86,1,Medium
3,Personal,3,09:49 PM,5,53,3,High
9,Student,4,12:03 AM,3,75,4,Medium
5,Student,1,04:35 PM,5,59,5,High
13,Student,4,08:33 PM,4,94,3,Medium
16,Personal,3,03:29 PM,4,78,5,Medium
2,Student,4,06:43 PM,5,65,1,High
22,Student,4,08:12 AM,4,73,1,Medium
29,Personal,2,09:19 AM,3,80,3,Low
27,Personal,3,05:45 AM,1,95,2,Low
21,Student,4,12:31 PM,5,61,5,Medium
25,Personal,2,06:35 PM,5,80,3,Medium
18,Personal,4,02:36 PM,5,85,5,Medium
22,Personal,1,06:49 AM,1,67,3,Low
16,Personal,3,01:18 AM,4,96,2,Medium
24,Personal,4,08:41 PM,5,82,0,Low
5,Student,4,08:13 AM,4,97,2,Medium
14,Student,2,05:59 PM,4,60,0,Medium
25,Work,4,02:39 AM,5,59,1,Medium
2,Work,1,01:42 AM,3,98,5,High
29,Student,2,04:03 AM,5,55,0,Low
26,Personal,1,06:45 PM,3,68,1,Low
2,Work,2,11:49 AM,2,100,4,Medium
28,Work,4,09:59 AM,5,69,0,Low
20,Personal,2,11:59 PM,5,85,5,Medium
25,Personal,4,11:12 PM,2,84,0,Low
23,Personal,1,05:41 AM,4,55,0,Low
21,Work,2,11:36 AM,4,93,3,Medium
24,Student,3,12:46 AM,4,73,0,Low
3,Work,1,07:56 AM,4,91,5,High
21,Work,4,07:50 PM,3,77,5,Medium
23,Work,2,12:55 PM,2,74,4,Low
5,Work,4,01:19 AM,1,94,3,Medium
23,Personal,3,05:29 PM,4,67,1,Medium
10,Work,1,09:29 PM,5,53,1,Medium
0,Work,3,02:21 AM,2,81,2,Medium
19,Student,4,08:41 PM,5,91,1,Medium
11,Student,4,03:00 PM,1,86,1,Low
20,Personal,2,10:43 AM,5,52,1,Medium
4,Work,4,10:54 PM,1,68,2,Medium
24,Personal,1,09:20 AM,4,90,0,Low
17,Personal,1,11:06 AM,4,91,0,Medium
6,Work,2,08:20 AM,1,66,4,Medium
28,Work,2,05:24 AM,4,92,0,Low
6,Personal,2,05:21 PM,1,66,1,Medium
5,Student,2,12:36 AM,2,50,1,Medium
20,Personal,1,11:23 AM,2,71,0,Low
1,Work,2,11:07 PM,2,65,2,Medium
28,Personal,3,03:25 PM,4,73,5,Medium
27,Student,3,02:40 PM,2,84,2,Low
30,Personal,1,10:14 AM,5,69,1,Low
30,Work,4,08:09 PM,4,71,4,Medium
14,Student,2,10:23 PM,4,77,5,Medium
26,Student,1,09:58 PM,1,89,1,Low
27,Student,2,11:52 AM,1,51,0,Low
23,Work,2,11:48 AM,3,57,3,Medium
0,Student,2,08:33 PM,4,84,5,High
6,Work,4,10:07 AM,1,99,2,Medium
18,Student,1,09:12 AM,3,60,3,Medium
9,Work,4,06:54 PM,4,77,0,Medium
3,Work,1,11:13 PM,5,57,0,High
14,Work,3,09:28 AM,2,91,3,Medium
19,Personal,2,03:32 PM,4,51,2,Medium
12,Personal,3,10:03 PM,3,99,2,Medium
7,Student,2,05:46 AM,1,77,0,Low
22,Personal,4,05:52 AM,5,81,3,Medium
15,Student,3,04:37 AM,5,53,5,High
5,Work,2,07:22 AM,3,81,0,Medium
11,Student,3,01:59 AM,1,94,4,Medium
20,Personal,2,01:18 PM,5,83,3,Medium
27,Work,2,03:49 PM,2,80,2,Low
22,Personal,4,07:28 PM,3,54,0,Low
2,Personal,1,02:43 AM,4,74,3,High
1,Student,2,06:07 AM,5,84,4,High
27,Student,1,07:33 AM,1,87,1,Low
5,Student,3,04:53 AM,4,93,0,Medium
10,Work,2,05:29 PM,4,93,0,Medium
20,Student,4,07:52 AM,2,71,2,Low
11,Work,4,08:22 AM,2,97,4,Medium
27,Personal,4,04:59 AM,2,82,4,Low
2,Work,4,11:26 AM,2,90,2,Medium
14,Work,2,04:04 AM,2,60,0,Low
22,Student,4,01:28 AM,1,54,3,Low
10,Work,2,12:02 PM,3,84,0,Medium
19,Personal,1,04:34 AM,2,51,2,Low
7,Work,4,03:32 PM,4,96,5,High
8,Work,4,12:36 PM,4,50,2,Medium
3,Student,2,10:49 PM,1,96,5,Medium
14,Work,3,05:56 AM,5,84,0,Medium
20,Student,1,09:14 PM,4,63,3,Medium
11,Personal,1,05:03 AM,1,84,3,Medium
12,Student,3,11:27 PM,2,100,0,Low
5,Work,3,06:41 PM,3,72,2,Medium
26,Student,2,06:44 PM,4,57,5,Medium
2,Personal,3,03:19 PM,3,69,0,Medium
24,Work,4,09:30 AM,2,87,5,Medium
15,Work,1,05:54 AM,3,95,2,Medium
2,Personal,2,01:35 PM,3,58,3,High
19,Personal,1,09:33 AM,1,68,3,Low
13,Personal,4,04:16 AM,5,85,0,Medium
29,Personal,1,11:05 PM,1,74,5,Low
10,Personal,1,02:34 AM,3,90,2,Medium
13,Work,2,05:24 AM,1,53,2,Medium
3,Work,4,04:51 AM,2,90,4,Medium
13,Personal,2,04:55 PM,1,65,4,Medium
29,Personal,1,01:13 AM,4,84,2,Low
13,Student,2,02:47 PM,5,70,4,High
15,Work,4,12:38 AM,5,52,3,Medium
0,Personal,1,04:35 PM,5,58,4,High
8,Personal,4,07:29 PM,3,66,1,Medium
23,Personal,4,05:23 PM,1,57,4,Low
22,Personal,3,02:51 PM,4,61,5,Medium
14,Personal,3,04:23 PM,1,68,1,Low
19,Personal,1,01:36 AM,5,100,5,Medium
19,Student,1,03:01 PM,5,100,3,Medium
22,Student,3,10:37 PM,4,77,3,Medium
21,Personal,4,03:12 PM,5,52,5,Medium
11,Work,2,07:36 AM,2,76,0,Low
0,Personal,4,09:41 PM,1,67,0,Medium
28,Personal,4,08:46 PM,2,76,2,Low
27,Personal,2,03:46 PM,1,78,4,Low
16,Work,3,03:46 PM,3,97,4,Medium
19,Work,4,09:41 AM,1,62,4,Medium
5,Student,1,01:53 AM,1,57,2,Medium
19,Student,4,01:48 AM,1,75,4,Low
20,Personal,1,03:53 AM,2,92,5,Medium
29,Work,1,12:09 AM,1,73,4,Low
16,Work,1,09:29 PM,1,73,4,Medium
18,Work,3,10:40 PM,1,88,4,Low
10,Student,2,08:01 AM,3,60,4,Medium
30,Student,2,09:26 AM,5,50,3,Medium
18,Work,4,09:46 PM,5,94,3,Medium
28,Student,4,05:01 PM,1,94,1,Low
6,Work,4,02:58 AM,2,54,0,Medium
26,Student,2,03:15 AM,5,96,0,Low
14,Student,4,09:16 PM,2,67,1,Medium
3,Personal,2,07:05 PM,1,85,1,Medium
4,Personal,3,08:36 AM,4,89,3,High
16,Student,1,04:19 AM,4,100,0,Medium
6,Student,2,11:48 AM,5,90,1,Medium
1,Work,3,07:24 PM,3,62,1,Medium
13,Student,2,08:03 AM,3,58,0,Medium
6,Student,4,03:05 PM,3,69,5,High
26,Personal,1,11:50 PM,2,78,5,Low
2,Student,4,02:57 AM,2,66,0,Medium
29,Work,4,04:57 PM,3,92,0,Low
22,Personal,1,01:59 AM,2,86,4,Medium
29,Student,1,05:57 AM,1,72,0,Low
5,Work,4,06:01 AM,5,92,1,Medium
3,Student,3,03:48 PM,5,58,4,High
5,Work,2,05:10 AM,4,93,1,Medium
2,Student,3,07:43 PM,4,93,0,Medium
30,Personal,3,12:08 AM,3,97,1,Low
26,Student,1,12:22 AM,4,82,1,Low
23,Work,4,07:14 AM,5,56,3,Medium
4,Personal,4,10:49 PM,1,50,3,Medium
18,Personal,1,01:40 PM,2,67,3,Medium
2,Personal,3,08:14 PM,3,60,0,Medium
16,Student,2,07:27 AM,5,57,1,Medium
15,Student,4,10:42 PM,4,87,0,Medium
30,Work,4,10:18 AM,1,94,1,Low
4,Student,2,02:05 PM,3,52,2,Medium
12,Work,4,07:45 AM,2,76,5,Medium
21,Student,3,07:20 PM,3,91,2,Low
17,Work,2,02:00 PM,3,64,4,Medium
29,Personal,2,06:48 PM,5,86,1,Low
27,Work,1,03:05 AM,3,72,5,Medium
3,Personal,2,08:35 PM,4,58,0,Medium
28,Work,1,01:05 PM,3,96,5,Medium
19,Student,1,02:38 PM,5,81,5,Medium
3,Personal,1,01:18 PM,5,90,0,Medium
12,Personal,2,02:46 AM,5,71,4,High
26,Student,3,09:10 PM,3,52,1,Low
1,Work,4,03:17 PM,5,100,1,High
16,Personal,1,08:09 AM,4,70,3,Medium
10,Work,3,07:17 PM,4,100,0,Medium
27,Personal,3,08:50 AM,5,84,4,Medium
14,Personal,2,05:15 PM,3,85,2,Medium
28,Student,1,10:12 PM,3,67,5,Medium
24,Work,4,03:19 AM,2,68,4,Low
6,Personal,1,06:53 PM,4,54,0,Medium
4,Personal,4,08:21 PM,3,76,4,High
1,Student,3,10:08 PM,5,96,3,High
21,Personal,1,10:44 AM,3,88,3,Medium
4,Personal,1,06:11 PM,4,90,5,High
25,Personal,4,05:47 PM,1,100,2,Low
25,Student,4,04:20 PM,4,93,3,Medium
5,Personal,3,07:23 AM,2,85,5,Medium
10,Student,1,04:37 AM,3,60,0,Medium
18,Student,2,09:01 PM,1,100,4,Low
13,Student,3,04:28 PM,2,77,2,Medium
14,Student,3,02:52 PM,4,56,4,Medium
2,Student,4,08:08 PM,1,57,3,Medium
12,Work,1,05:42 AM,1,98,0,Low
7,Student,3,07:50 PM,3,54,4,Medium
14,Work,2,08:38 PM,5,80,1,Medium
21,Student,1,07:34 PM,3,52,5,Medium
9,Student,2,01:50 PM,5,65,3,High
1,Student,1,09:38 AM,3,79,0,Medium
29,Work,3,04:42 PM,3,68,1,Low
7,Work,2,11:39 AM,1,89,5,Medium
6,Student,3,11:43 PM,1,85,0,Low
4,Personal,1,07:06 AM,5,62,4,High
27,Work,4,05:14 AM,1,50,3,Low
2,Personal,2,06:25 PM,1,83,5,Medium
13,Student,4,10:44 AM,4,79,5,Medium
10,Personal,3,01:30 AM,3,63,3,Medium
12,Personal,1,07:58 AM,2,94,4,Medium
18,Work,3,12:09 PM,2,89,0,Low
22,Personal,2,06:29 AM,2,65,5,Medium
27,Student,2,08:22 PM,2,75,4,Low
23,Work,3,08:46 PM,4,83,2,Medium
7,Personal,3,02:19 AM,3,78,4,Medium
6,Student,1,02:01 PM,1,90,5,Medium
20,Student,1,02:43 AM,5,68,4,Medium
18,Student,1,04:33 AM,1,71,0,Low
22,Student,3,03:21 PM,2,59,3,Low
7,Personal,2,04:51 PM,4,69,1,Medium
13,Student,2,03:11 PM,4,95,3,Medium
20,Personal,4,01:47 AM,4,62,2,Medium
22,Personal,4,10:27 PM,2,61,5,Medium
1,Work,2,12:13 AM,2,60,0,Medium
11,Personal,1,12:51 AM,1,80,0,Low
25,Student,1,02:51 AM,2,67,5,Medium
5,Personal,1,06:12 PM,2,57,0,Medium
5,Work,1,05:42 PM,4,78,3,High
10,Student,1,11:20 PM,1,92,2,Medium
8,Student,3,07:37 AM,2,93,3,Medium
3,Personal,2,06:54 PM,3,62,2,Medium
16,Student,2,03:52 PM,4,100,4,Medium
16,Student,2,10:05 AM,2,78,0,Low
27,Personal,3,02:15 PM,1,59,4,Low
20,Work,3,03:23 AM,5,86,0,Medium
23,Student,4,07:26 AM,3,66,3,Medium
14,Student,1,07:27 AM,1,70,3,Medium
18,Personal,3,11:34 AM,4,86,1,Medium
16,Student,1,03:31 PM,4,90,2,Medium
14,Work,4,03:20 PM,2,63,2,Medium
11,Student,1,01:55 PM,4,56,0,Medium
12,Work,2,08:08 AM,5,62,3,Medium
30,Personal,2,09:32 PM,1,58,5,Low
10,Personal,2,11:31 PM,1,85,4,Medium
22,Student,1,08:31 AM,5,83,0,Medium
23,Work,4,10:01 AM,4,67,2,Medium
27,Personal,2,01:17 AM,4,93,4,Medium
27,Student,4,05:10 PM,1,85,4,Low
27,Student,3,12:49 PM,3,62,0,Low
16,Student,2,09:07 AM,2,93,4,Medium
9,Personal,2,09:52 PM,5,86,5,High
23,Student,2,01:48 PM,1,85,5,Low
9,Student,3,04:27 AM,1,52,5,Medium
16,Student,4,11:48 AM,4,73,4,Medium
10,Personal,1,01:28 PM,4,75,5,High
0,Personal,4,02:28 AM,4,65,0,Medium
7,Work,4,04:51 PM,2,61,2,Medium
21,Student,1,10:40 PM,2,96,5,Medium
8,Work,2,10:08 AM,5,55,4,High
24,Work,1,01:36 PM,2,56,3,Low
24,Student,2,05:38 AM,4,65,2,Medium
20,Personal,4,12:18 PM,5,56,3,Medium
14,Student,3,05:54 AM,1,81,2,Low
7,Work,1,07:58 AM,1,57,4,Medium
21,Personal,3,11:08 AM,4,89,2,Medium
28,Work,1,03:45 PM,5,83,1,Low
27,Work,1,11:25 PM,4,72,3,Medium
25,Work,4,10:40 PM,2,89,0,Low
22,Student,1,07:24 PM,4,99,2,Medium
14,Work,4,11:50 AM,4,71,0,Medium
16,Personal,3,09:47 PM,2,93,1,Low
24,Student,2,06:29 PM,1,59,2,Low
12,Personal,3,10:00 AM,3,62,4,Medium
7,Student,4,08:40 PM,4,96,3,Medium
10,Work,3,09:25 AM,1,98,3,Medium
5,Personal,4,04:31 PM,4,96,0,Medium
13,Personal,2,05:21 AM,2,98,1,Low
4,Student,4,08:50 PM,4,90,2,Medium
23,Student,2,01:02 AM,1,99,5,Low
26,Student,2,08:01 AM,5,70,5,Medium
4,Work,2,08:29 AM,2,63,1,Medium
13,Personal,1,04:44 AM,3,79,5,Medium
28,Student,4,05:10 PM,4,94,2,Low
11,Work,1,11:23 PM,1,97,2,Low
12,Work,2,06:42 AM,3,80,3,Medium
11,Work,2,07:40 PM,1,65,3,Medium
2,Student,4,12:48 AM,3,75,5,High
24,Personal,4,11:05 AM,3,86,0,Low
17,Work,3,04:30 AM,2,75,5,Medium
3,Work,4,10:14 PM,3,78,2,Medium
28,Work,2,01:44 PM,1,92,2,Low
20,Work,4,07:44 AM,2,83,4,Medium
9,Personal,4,02:14 PM,4,96,5,High
0,Work,3,12:51 AM,1,69,1,Medium
21,Work,1,06:23 PM,4,58,4,Medium
9,Work,4,07:49 AM,5,77,3,High
9,Student,3,11:09 AM,3,70,1,Medium
27,Student,4,10:00 AM,2,57,2,Low
21,Personal,1,06:46 AM,3,78,2,Medium
11,Student,1,12:09 PM,5,59,3,High
8,Student,2,11:28 AM,3,83,2,Medium
0,Work,4,02:08 AM,1,78,0,Medium
2,Student,4,12:24 PM,4,79,2,High
2,Personal,1,06:50 AM,3,75,5,High
16,Work,2,05:41 AM,5,78,3,Medium
20,Work,3,09:38 PM,2,53,0,Low
17,Student,1,01:54 PM,2,75,4,Medium
19,Work,4,09:38 AM,2,60,0,Low
8,Student,1,07:18 AM,2,50,0,Medium
21,Work,2,08:24 AM,5,90,4,Medium
3,Work,1,08:40 AM,3,100,4,High
2,Student,4,01:23 PM,2,100,2,Medium
12,Work,4,07:55 PM,2,89,4,Medium
20,Personal,2,09:43 AM,4,72,1,Medium
19,Personal,3,02:01 AM,2,94,4,Medium
7,Work,1,05:13 AM,3,97,5,Medium
27,Work,2,07:32 PM,1,76,3,Low
25,Student,3,12:32 PM,3,86,0,Low
2,Personal,3,12:25 AM,3,89,4,High
3,Student,2,09:34 AM,5,73,1,High
3,Personal,3,02:19 AM,2,98,4,Medium
23,Student,4,04:51 AM,5,54,5,Medium
20,Student,2,06:25 AM,1,55,4,Low
24,Personal,2,12:27 AM,5,69,2,Medium
18,Work,2,04:05 PM,4,77,3,Medium
5,Work,3,08:39 AM,4,96,0,Medium
4,Personal,1,11:47 AM,2,99,5,Medium
29,Work,1,01:45 AM,1,97,2,Low
18,Student,2,01:10 PM,1,97,2,Low
14,Personal,2,09:33 PM,4,88,5,Medium
20,Work,2,06:08 PM,5,57,0,Medium
15,Student,3,02:49 AM,2,59,2,Medium
1,Personal,3,07:17 AM,1,66,2,Medium
9,Personal,2,12:36 AM,1,66,3,Medium
15,Personal,4,08:32 PM,1,70,4,Medium
5,Work,1,08:54 AM,1,74,2,Medium
3,Personal,1,03:16 AM,1,73,1,Medium
7,Student,3,11:46 AM,3,55,0,Medium
14,Work,3,12:32 AM,2,88,4,Medium
29,Work,1,01:15 AM,1,83,2,Low
8,Personal,1,06:24 AM,1,62,5,Medium
5,Work,4,01:35 PM,4,52,0,Medium
30,Work,1,06:15 PM,4,97,4,Medium
22,Student,4,06:17 AM,1,66,2,Low
25,Student,3,06:07 AM,4,81,3,Medium
17,Work,1,04:51 AM,3,92,3,Medium
2,Personal,4,02:56 PM,2,82,5,High
1,Personal,1,05:20 AM,4,73,2,High
28,Student,3,08:00 PM,1,82,0,Low
7,Work,3,05:36 PM,5,50,4,High
26,Student,4,10:15 PM,5,97,5,Medium
2,Personal,3,10:31 AM,4,65,2,High
10,Student,2,09:48 AM,1,69,3,Medium
11,Work,3,01:59 PM,2,71,2,Medium
24,Work,1,04:34 PM,3,99,2,Low
18,Student,2,12:56 AM,4,65,3,Medium
0,Personal,1,01:48 PM,4,60,4,High
26,Student,4,12:19 AM,1,55,0,Low
4,Work,1,09:15 PM,4,63,4,High
21,Personal,4,01:09 PM,3,82,5,Medium
17,Work,4,01:58 AM,1,68,5,Medium
4,Student,3,07:44 PM,2,79,3,Medium
0,Personal,1,12:05 AM,4,56,5,High
22,Student,3,03:40 PM,5,69,4,Medium
23,Work,2,10:36 AM,2,90,0,Low
7,Personal,2,11:08 AM,5,59,0,Medium
1,Personal,2,05:54 PM,2,54,3,Medium
29,Personal,1,12:53 PM,5,67,1,Low
19,Personal,1,08:17 AM,1,76,0,Low
11,Work,3,04:08 AM,3,52,1,Medium
1,Work,1,02:10 PM,3,65,1,Medium
27,Personal,4,06:26 AM,2,87,5,Low
25,Student,3,06:49 AM,3,78,5,Medium
19,Personal,3,05:29 PM,1,69,3,Low
18,Work,4,02:10 PM,3,96,1,Low
29,Student,1,12:38 AM,2,71,2,Low
5,Work,3,06:09 AM,3,59,0,Medium
0,Student,4,04:22 PM,1,85,2,Medium
27,Student,2,01:43 PM,5,53,0,Low
18,Personal,2,03:01 PM,1,59,4,Medium
14,Personal,3,09:47 AM,3,97,4,Medium
26,Work,4,08:06 AM,4,83,5,Medium
24,Work,1,01:03 AM,4,50,0,Low
12,Work,4,04:52 PM,1,58,3,Medium
18,Personal,1,11:40 AM,2,85,0,Low
12,Student,2,10:16 AM,2,81,5,Medium
15,Work,2,02:12 PM,1,59,1,Low
26,Work,2,02:57 PM,2,84,3,Low
26,Work,1,01:29 AM,1,77,3,Low
28,Work,3,10:27 PM,1,76,1,Low
18,Personal,4,01:24 PM,4,66,2,Medium
24,Work,1,06:13 AM,2,99,3,Low
12,Personal,4,05:28 AM,1,72,3,Medium
14,Work,4,10:39 AM,1,95,4,Medium
10,Student,4,05:31 PM,2,89,2,Medium
28,Student,2,08:03 AM,3,82,2,Low
15,Personal,2,07:08 PM,2,67,5,Medium
30,Work,3,11:56 AM,4,62,5,Medium
2,Student,2,09:50 AM,1,76,5,Medium
7,Personal,3,12:22 PM,2,66,0,Medium
28,Student,2,08:22 PM,3,74,0,Low
27,Personal,4,05:11 AM,1,86,0,Low
17,Personal,4,10:14 AM,3,70,1,Medium
28,Personal,2,01:51 PM,3,87,1,Low
7,Student,4,06:49 AM,2,92,4,Medium
14,Work,4,02:15 AM,2,83,5,Medium
10,Personal,2,09:52 AM,1,62,3,Medium
21,Work,4,10:54 PM,5,92,5,Medium
23,Personal,4,03:11 AM,4,64,0,Low
22,Student,3,06:51 PM,2,50,5,Medium
5,Student,1,01:45 PM,5,54,0,Medium
9,Student,4,10:09 AM,5,99,2,Medium
12,Personal,3,09:19 AM,4,68,2,Medium
3,Personal,1,01:05 AM,1,53,3,Medium
27,Work,3,10:14 AM,2,72,0,Low
20,Student,1,08:00 PM,2,73,0,Low
12,Student,3,04:51 AM,5,85,5,High
9,Personal,1,12:11 PM,2,88,0,Medium
16,Work,1,01:09 AM,5,58,5,High
18,Work,1,09:55 PM,3,88,5,Medium
8,Work,2,06:45 PM,5,91,0,Medium
11,Student,3,02:21 PM,3,79,0,Medium
30,Personal,2,03:10 PM,1,78,4,Low
22,Student,1,08:41 PM,4,96,4,Medium
16,Work,3,12:35 PM,5,51,4,Medium
5,Work,4,11:37 AM,2,79,5,Medium
21,Personal,1,05:46 PM,1,92,1,Low
18,Work,2,03:46 AM,2,59,3,Medium
18,Student,4,10:25 AM,2,58,1,Low
27,Work,3,10:20 AM,3,64,5,Medium
27,Student,4,10:06 PM,3,58,0,Low
29,Work,1,06:47 AM,3,52,1,Low
7,Work,3,06:20 AM,2,50,4,Medium
17,Student,2,02:52 PM,3,62,5,Medium
0,Personal,2,01:16 AM,5,97,4,High
15,Work,1,12:04 PM,5,78,1,Medium
16,Personal,3,02:46 AM,5,54,1,Medium
16,Work,3,07:28 PM,2,98,4,Medium
0,Work,1,07:31 PM,1,92,0,Medium
26,Personal,1,09:24 AM,3,64,4,Medium
20,Personal,3,10:41 AM,2,65,0,Low
21,Work,4,08:04 AM,1,50,4,Low
24,Personal,2,01:20 PM,1,100,3,Low
18,Work,2,02:21 AM,1,56,5,Medium
28,Personal,3,03:46 AM,3,51,0,Low
12,Student,3,02:21 PM,3,60,4,Medium
13,Student,2,01:27 AM,1,89,1,Low
18,Student,4,07:10 AM,2,81,5,Medium
5,Work,4,06:13 AM,1,89,3,Medium
14,Personal,4,12:35 PM,4,98,4,Medium
17,Student,2,05:19 AM,5,94,5,Medium
14,Work,4,01:25 PM,5,91,4,Medium
2,Work,3,01:23 AM,3,63,2,Medium
22,Personal,2,02:18 PM,4,60,1,Medium
30,Work,3,02:01 AM,3,79,2,Low
1,Work,2,11:18 AM,1,58,3,Medium
30,Personal,4,02:19 PM,2,64,0,Low
3,Personal,4,08:57 PM,1,86,4,Medium
29,Work,3,11:34 PM,2,66,2,Low
4,Work,3,06:56 PM,4,78,2,Medium
6,Personal,4,03:28 AM,1,77,5,Medium
28,Personal,2,08:29 PM,1,65,2,Low
20,Work,4,05:36 AM,2,85,1,Low
4,Work,1,12:42 AM,2,61,1,Medium
28,Work,1,11:22 PM,3,65,2,Low
24,Student,4,04:35 AM,5,51,5,Medium
29,Personal,4,09:26 PM,2,93,2,Low
14,Student,4,04:30 PM,1,75,1,Low
17,Work,4,07:57 AM,3,75,1,Medium
29,Student,4,10:57 AM,1,87,0,Low
14,Work,3,08:11 AM,3,79,4,Medium
0,Work,2,04:08 AM,5,81,3,High
20,Personal,2,02:43 PM,5,76,3,Medium
6,Work,2,11:09 PM,2,88,4,Medium
14,Personal,3,12:58 AM,4,81,5,Medium
23,Work,4,07:35 PM,2,86,3,Low
11,Student,1,06:54 PM,4,57,0,Medium
4,Student,3,08:58 AM,5,70,2,High
14,Student,1,10:37 PM,4,95,1,Medium
15,Work,2,07:09 AM,1,95,2,Low
23,Student,4,10:37 AM,5,56,4,Medium
0,Personal,2,09:56 PM,5,87,2,High
28,Student,2,10:30 AM,3,94,2,Low
2,Work,3,05:25 AM,5,62,0,High
22,Personal,3,06:01 PM,3,84,2,Low
10,Work,2,05:47 PM,2,92,0,Low
4,Personal,3,04:58 PM,5,61,1,High
28,Work,2,05:45 PM,3,67,2,Low
26,Work,3,04:56 AM,1,90,5,Low
0,Work,3,06:45 AM,4,71,5,High
7,Personal,2,10:28 AM,4,79,5,High
12,Personal,2,03:53 PM,5,98,5,High
7,Work,3,07:03 AM,4,57,4,High
26,Personal,3,11:26 AM,3,72,0,Low
22,Student,4,12:41 PM,1,66,1,Low
29,Personal,1,07:54 PM,3,95,2,Low
1,Personal,2,05:13 PM,4,83,2,High
29,Student,1,11:38 PM,4,72,2,Low
28,Personal,1,05:41 PM,4,86,1,Low
1,Work,3,10:25 PM,3,77,5,High
29,Student,1,03:46 AM,2,89,5,Low
29,Personal,3,07:24 AM,1,50,1,Low
24,Student,3,12:36 AM,2,83,0,Low
21,Personal,1,12:45 AM,1,97,1,Low
18,Student,4,09:40 PM,1,64,1,Low
17,Personal,1,02:30 AM,1,61,3,Low
26,Work,1,06:14 PM,5,94,0,Low
27,Student,2,05:29 AM,4,88,0,Low
28,Personal,2,01:55 AM,1,55,5,Low
3,Personal,1,11:03 AM,5,91,1,High
21,Student,4,03:31 AM,1,50,4,Low
16,Work,4,10:27 PM,2,57,1,Low
26,Personal,1,07:30 PM,3,75,2,Low
24,Student,1,06:00 PM,2,67,0,Low
29,Student,3,04:01 AM,5,81,1,Low
28,Student,2,12:15 AM,2,62,2,Low
22,Personal,4,05:29 PM,4,79,0,Low
24,Personal,4,11:08 PM,1,96,0,Low
24,Work,1,12:08 AM,3,61,0,Low
21,Student,4,01:03 AM,1,98,2,Low
18,Personal,3,08:24 AM,1,70,2,Low
26,Work,1,12:43 AM,3,87,3,Low
1,Personal,2,07:42 AM,5,100,3,High
25,Personal,4,04:38 AM,3,95,2,Low
27,Personal,1,09:12 PM,2,67,0,Low
30,Student,4,07:18 AM,2,53,5,Low
30,Student,4,08:21 AM,5,74,1,Low
19,Work,4,10:42 PM,2,68,2,Low
23,Work,1,02:49 AM,3,76,0,Low
21,Work,1,01:54 PM,2,79,2,Low
25,Personal,1,11:20 PM,1,69,0,Low
14,Personal,2,06:57 PM,1,70,0,Low
25,Student,1,05:56 AM,1,92,3,Low
12,Work,1,03:44 AM,5,94,5,High
28,Work,1,02:26 PM,1,97,1,Low
0,Student,4,11:28 AM,4,100,5,High
29,Personal,1,08:07 PM,2,70,1,Low
0,Student,3,06:00 AM,5,96,0,High
14,Student,4,08:54 PM,5,64,5,High
21,Work,2,09:14 PM,1,72,0,Low
1,Personal,2,04:05 PM,5,75,3,High
30,Work,3,07:26 AM,4,84,0,Low
2,Student,3,09:00 AM,4,85,2,High
28,Student,1,09:13 PM,3,99,0,Low
2,Personal,4,06:52 AM,4,62,5,High
21,Student,4,09:23 AM,3,80,0,Low
18,Student,3,12:46 PM,2,65,2,Low
29,Work,2,05:39 AM,2,99,4,Low
30,Student,4,03:44 AM,1,90,2,Low
14,Student,4,12:56 PM,1,77,1,Low
24,Work,2,04:39 PM,3,97,1,Low
29,Student,4,02:48 PM,2,61,0,Low
24,Personal,4,01:33 AM,3,96,1,Low
11,Work,4,07:09 AM,5,53,5,High
29,Work,3,01:44 PM,1,66,3,Low
2,Student,3,11:03 PM,4,96,5,High
4,Student,3,01:00 PM,4,78,3,High
15,Work,2,11:45 PM,5,85,5,High
